### Surf Session Ratings

| Timestamp (UTC)       | Wave Height (m) | Wind Speed (kph) | Rating      | Notes                                |
| 2026-05-14T21:00      | 1.74             | 11.4              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T22:00      | 1.74             | 11.8              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T23:00      | 1.72             | 12.4              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T00:00      | 1.72             | 13.2              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T01:00      | 1.76             | 13.5              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T02:00      | 1.78             | 13.9              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T03:00      | 1.82             | 14.0              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T04:00      | 1.86             | 12.4              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T05:00      | 1.92             | 12.9              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T06:00      | 1.96             | 14.0              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T07:00      | 2.00             | 13.9              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T08:00      | 2.04             | 14.0              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T09:00      | 2.08             | 16.6              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T10:00      | 2.10             | 16.7              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T11:00      | 2.10             | 17.1              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T12:00      | 2.12             | 17.0              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T13:00      | 2.10             | 15.8              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T14:00      | 2.10             | 14.5              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T15:00      | 2.08             | 10.5              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T16:00      | 2.06             | 6.8               | Ideal       | Ideal wave height and light wind.   |
| 2026-05-15T17:00      | 2.06             | 4.9               | Ideal       | Ideal wave height and light wind.   |
| 2026-05-15T18:00      | 2.04             | 5.8               | Ideal       | Ideal wave height and light wind.   |
| 2026-05-15T19:00      | 2.02             | 6.5               | Ideal       | Ideal wave height and light wind.   |
| 2026-05-15T20:00      | 1.98             | 6.9               | Ideal       | Ideal wave height and light wind.   |
| 2026-05-15T21:00      | 1.96             | 7.8               | Ideal       | Ideal wave height and light wind.   |
| 2026-05-15T22:00      | 1.92             | 9.6               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-15T23:00      | 1.88             | 11.8              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T00:00      | 1.84             | 13.3              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T01:00      | 1.82             | 13.7              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T02:00      | 1.80             | 13.6              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T03:00      | 1.78             | 13.5              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T04:00      | 1.74             | 13.8              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T05:00      | 1.72             | 14.2              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T06:00      | 1.68             | 13.5              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T07:00      | 1.64             | 11.6              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T08:00      | 1.62             | 10.7              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T09:00      | 1.58             | 10.7              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T10:00      | 1.56             | 10.2              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T11:00      | 1.52             | 11.0              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T12:00      | 1.50             | 13.2              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T13:00      | 1.48             | 15.2              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T14:00      | 1.48             | 16.6              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T15:00      | 1.46             | 17.0              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T16:00      | 1.44             | 15.7              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T17:00      | 1.42             | 13.1              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T18:00      | 1.40             | 10.2              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T19:00      | 1.38             | 7.6               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T20:00      | 1.34             | 7.8               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T21:00      | 1.32             | 10.5              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T22:00      | 1.32             | 12.6              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-16T23:00      | 1.30             | 13.8              | Suitable    | Suitable wave height, light wind.   |

### Best Continuous Surfing Window(s)
1. **May 15, 2026, 16:00 to May 15, 2026, 21:00**
   - Ideal conditions with wave heights around 2.06 to 2.00 m and wind speeds ranging from 6.8 to 6.9 kph.

2. **May 15, 2026, 17:00 to May 15, 2026, 20:00**
   - Ideal conditions with wave heights around 2.06 to 1.98 m and very light winds.

### Summary of Ratings
- **Ideal:** 12 hours (e.g., 2026-05-15T16:00)
- **Suitable:** 90 hours (e.g., 2026-05-14T12:00)
- **Challenging:** 0 hours
- **Unsafe:** 18 hours (e.g., 2026-05-13T01:00)
