### Surf Session Ratings at Jeffreys Bay

| Time (UTC)         | Wave Height (m) | Wind Speed (kph) | Rating       |
| 2026-05-14T02:00    | 2.32             | 12.4              | Suitable     |
| 2026-05-14T03:00    | 2.26             | 13.0              | Suitable     |
| 2026-05-14T04:00    | 2.2              | 13.2              | Suitable     |
| 2026-05-14T05:00    | 2.12             | 15.0              | Suitable     |
| 2026-05-14T06:00    | 2.06             | 16.4              | Suitable     |
| 2026-05-14T07:00    | 2.02             | 15.7              | Suitable     |
| 2026-05-14T08:00    | 1.98             | 15.8              | Suitable     |
| 2026-05-14T09:00    | 1.94             | 15.0              | Suitable     |
| 2026-05-14T10:00    | 1.92             | 13.5              | Suitable     |
| 2026-05-14T11:00    | 1.9              | 11.5              | Ideal        |
| 2026-05-14T12:00    | 1.88             | 9.7               | Ideal        |
| 2026-05-14T13:00    | 1.86             | 9.3               | Ideal        |
| 2026-05-14T14:00    | 1.84             | 8.4               | Ideal        |
| 2026-05-14T15:00    | 1.82             | 7.3               | Ideal        |
| 2026-05-14T16:00    | 1.8              | 9.7               | Ideal        |
| 2026-05-14T17:00    | 1.8              | 9.7               | Ideal        |
| 2026-05-14T18:00    | 1.78             | 8.5               | Ideal        |
| 2026-05-14T19:00    | 1.76             | 9.1               | Ideal        |
| 2026-05-14T20:00    | 1.76             | 11.1              | Ideal        |
| 2026-05-14T21:00    | 1.74             | 11.4              | Ideal        |
| 2026-05-14T22:00    | 1.74             | 11.8              | Ideal        |
| 2026-05-14T23:00    | 1.72             | 12.4              | Ideal        |
| 2026-05-15T00:00    | 1.72             | 13.2              | Ideal        |
| 2026-05-15T01:00    | 1.76             | 13.5              | Ideal        |
| 2026-05-15T02:00    | 1.78             | 13.9              | Ideal        |
| 2026-05-15T03:00    | 1.82             | 14.0              | Ideal        |
| 2026-05-15T04:00    | 1.86             | 12.4              | Ideal        |
| 2026-05-15T05:00    | 1.92             | 12.9              | Ideal        |
| 2026-05-15T06:00    | 1.96             | 14.0              | Ideal        |
| 2026-05-15T07:00    | 2.0              | 13.9              | Suitable     |
| 2026-05-15T08:00    | 2.04             | 14.0              | Suitable     |
| 2026-05-15T09:00    | 2.08             | 16.6              | Suitable     |
| 2026-05-15T10:00    | 2.1              | 16.7              | Suitable     |
| 2026-05-15T11:00    | 2.1              | 17.1              | Suitable     |
| 2026-05-15T12:00    | 2.12             | 17.0              | Suitable     |
| 2026-05-15T13:00    | 2.1              | 15.8              | Suitable     |
| 2026-05-15T14:00    | 2.1              | 14.5              | Suitable     |
| 2026-05-15T15:00    | 2.08             | 10.5              | Suitable     |
| 2026-05-15T16:00    | 2.06             | 6.8               | Ideal        |
| 2026-05-15T17:00    | 2.06             | 4.9               | Ideal        |
| 2026-05-15T18:00    | 2.04             | 5.8               | Ideal        |
| 2026-05-15T19:00    | 2.02             | 6.5               | Ideal        |
| 2026-05-15T20:00    | 1.98             | 6.9               | Ideal        |
| 2026-05-15T21:00    | 1.96             | 7.8               | Ideal        |
| 2026-05-15T22:00    | 1.92             | 9.6               | Ideal        |
| 2026-05-15T23:00    | 1.88             | 11.8              | Ideal        |
| 2026-05-16T00:00    | 1.84             | 13.3              | Ideal        |
| 2026-05-16T01:00    | 1.82             | 13.7              | Ideal        |
| 2026-05-16T02:00    | 1.8              | 13.6              | Ideal        |
| 2026-05-16T03:00    | 1.78             | 13.5              | Ideal        |
| 2026-05-16T04:00    | 1.74             | 13.8              | Ideal        |
| 2026-05-16T05:00    | 1.72             | 14.2              | Ideal        |
| 2026-05-16T06:00    | 1.68             | 13.5              | Ideal        |
| 2026-05-16T07:00    | 1.64             | 11.6              | Ideal        |
| 2026-05-16T08:00    | 1.62             | 10.7              | Ideal        |
| 2026-05-16T09:00    | 1.58             | 10.7              | Ideal        |
| 2026-05-16T10:00    | 1.56             | 10.2              | Ideal        |
| 2026-05-16T11:00    | 1.52             | 11.0              | Ideal        |
| 2026-05-16T12:00    | 1.5              | 13.2              | Ideal        |
| 2026-05-16T13:00    | 1.48             | 15.2              | Ideal        |
| 2026-05-16T14:00    | 1.48             | 16.6              | Ideal        |
| 2026-05-16T15:00    | 1.46             | 17.0              | Ideal        |
| 2026-05-16T16:00    | 1.44             | 15.7              | Ideal        |
| 2026-05-16T17:00    | 1.42             | 13.1              | Ideal        |
| 2026-05-16T18:00    | 1.4              | 10.2              | Ideal        |
| 2026-05-16T19:00    | 1.38             | 7.6               | Ideal        |
| 2026-05-16T20:00    | 1.34             | 7.8               | Ideal        |
| 2026-05-16T21:00    | 1.32             | 10.5              | Ideal        |
| 2026-05-16T22:00    | 1.32             | 12.6              | Ideal        |
| 2026-05-16T23:00    | 1.3              | 13.8              | Ideal        |

### Best Continuous Surfing Window
- **Start Time:** 2026-05-14T11:00 (Wave Height: 1.9 m, Wind Speed: 11.5 kph)
- **End Time:** 2026-05-15T23:00 (Wave Height: 1.88 m, Wind Speed: 11.8 kph)

This continuous window of 36 hours provides ideal or suitable conditions for surfing, making it the best time frame for an intermediate surfer.
