### Surf Session Ratings at Sagres Tonel (April 26-30, 2026)

| Timestamp             | Rating     | Notes                                                 |
| 2026-04-27T02:00     | Ideal      | Wave Height: 1.06 m, Wind Speed: 4.0 kph             |
| 2026-04-27T03:00     | Ideal      | Wave Height: 1.06 m, Wind Speed: 4.7 kph             |
| 2026-04-27T04:00     | Ideal      | Wave Height: 1.08 m, Wind Speed: 5.7 kph             |
| 2026-04-27T05:00     | Ideal      | Wave Height: 1.12 m, Wind Speed: 5.6 kph             |
| 2026-04-27T06:00     | Ideal      | Wave Height: 1.14 m, Wind Speed: 4.0 kph             |
| 2026-04-27T07:00     | Ideal      | Wave Height: 1.18 m, Wind Speed: 3.8 kph             |
| 2026-04-27T08:00     | Suitable   | Wave Height: 1.22 m, Wind Speed: 3.8 kph             |
| 2026-04-27T09:00     | Suitable   | Wave Height: 1.24 m, Wind Speed: 4.4 kph             |
| 2026-04-27T10:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 7.6 kph             |
| 2026-04-27T11:00     | Suitable   | Wave Height: 1.32 m, Wind Speed: 8.9 kph             |
| 2026-04-27T12:00     | Suitable   | Wave Height: 1.34 m, Wind Speed: 6.1 kph             |
| 2026-04-27T13:00     | Ideal      | Wave Height: 1.38 m, Wind Speed: 5.4 kph             |
| 2026-04-27T14:00     | Suitable   | Wave Height: 1.38 m, Wind Speed: 8.7 kph             |
| 2026-04-27T15:00     | Suitable   | Wave Height: 1.38 m, Wind Speed: 8.4 kph             |
| 2026-04-27T16:00     | Suitable   | Wave Height: 1.38 m, Wind Speed: 4.3 kph             |
| 2026-04-27T17:00     | Suitable   | Wave Height: 1.36 m, Wind Speed: 5.4 kph             |
| 2026-04-27T18:00     | Suitable   | Wave Height: 1.32 m, Wind Speed: 7.8 kph             |
| 2026-04-27T19:00     | Suitable   | Wave Height: 1.30 m, Wind Speed: 8.2 kph             |
| 2026-04-27T20:00     | Suitable   | Wave Height: 1.30 m, Wind Speed: 8.7 kph             |
| 2026-04-27T21:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 7.6 kph             |
| 2026-04-27T22:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 8.0 kph             |
| 2026-04-27T23:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 8.0 kph             |
| 2026-04-28T00:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 5.5 kph             |
| 2026-04-28T01:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 4.2 kph             |
| 2026-04-28T02:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 3.9 kph             |
| 2026-04-28T03:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 4.6 kph             |
| 2026-04-28T04:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 3.7 kph             |
| 2026-04-28T05:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 4.8 kph             |
| 2026-04-28T06:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 6.3 kph             |
| 2026-04-28T07:00     | Suitable   | Wave Height: 1.30 m, Wind Speed: 7.7 kph             |
| 2026-04-28T08:00     | Suitable   | Wave Height: 1.30 m, Wind Speed: 6.9 kph             |
| 2026-04-28T09:00     | Suitable   | Wave Height: 1.30 m, Wind Speed: 9.2 kph             |
| 2026-04-28T10:00     | Suitable   | Wave Height: 1.30 m, Wind Speed: 9.2 kph             |
| 2026-04-28T11:00     | Suitable   | Wave Height: 1.32 m, Wind Speed: 10.0 kph            |
| 2026-04-28T12:00     | Suitable   | Wave Height: 1.32 m, Wind Speed: 10.2 kph            |
| 2026-04-28T13:00     | Suitable   | Wave Height: 1.34 m, Wind Speed: 8.8 kph             |
| 2026-04-28T14:00     | Suitable   | Wave Height: 1.36 m, Wind Speed: 7.6 kph             |
| 2026-04-28T15:00     | Suitable   | Wave Height: 1.38 m, Wind Speed: 9.4 kph             |
| 2026-04-28T16:00     | Suitable   | Wave Height: 1.40 m, Wind Speed: 11.4 kph            |
| 2026-04-28T17:00     | Suitable   | Wave Height: 1.42 m, Wind Speed: 12.1 kph            |
| 2026-04-28T18:00     | Suitable   | Wave Height: 1.42 m, Wind Speed: 13.4 kph            |
| 2026-04-28T19:00     | Suitable   | Wave Height: 1.44 m, Wind Speed: 14.1 kph            |
| 2026-04-28T20:00     | Suitable   | Wave Height: 1.42 m, Wind Speed: 13.7 kph            |
| 2026-04-28T21:00     | Suitable   | Wave Height: 1.42 m, Wind Speed: 13.0 kph            |
| 2026-04-28T22:00     | Suitable   | Wave Height: 1.40 m, Wind Speed: 12.0 kph            |
| 2026-04-28T23:00     | Suitable   | Wave Height: 1.38 m, Wind Speed: 11.5 kph            |
| 2026-04-29T00:00     | Suitable   | Wave Height: 1.38 m, Wind Speed: 11.5 kph            |
| 2026-04-29T01:00     | Suitable   | Wave Height: 1.36 m, Wind Speed: 12.2 kph            |
| 2026-04-29T02:00     | Suitable   | Wave Height: 1.34 m, Wind Speed: 11.0 kph            |
| 2026-04-29T03:00     | Suitable   | Wave Height: 1.30 m, Wind Speed: 9.2 kph             |
| 2026-04-29T04:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 7.5 kph             |
| 2026-04-29T05:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 10.5 kph            |
| 2026-04-29T06:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 8.1 kph             |
| 2026-04-29T07:00     | Suitable   | Wave Height: 1.24 m, Wind Speed: 10.5 kph            |
| 2026-04-29T08:00     | Suitable   | Wave Height: 1.22 m, Wind Speed: 10.1 kph            |
| 2026-04-29T09:00     | Suitable   | Wave Height: 1.22 m, Wind Speed: 12.7 kph            |
| 2026-04-29T10:00     | Suitable   | Wave Height: 1.20 m, Wind Speed: 14.2 kph            |
| 2026-04-29T11:00     | Suitable   | Wave Height: 1.20 m, Wind Speed: 13.7 kph            |
| 2026-04-29T12:00     | Suitable   | Wave Height: 1.20 m, Wind Speed: 16.2 kph            |
| 2026-04-29T13:00     | Suitable   | Wave Height: 1.20 m, Wind Speed: 16.5 kph            |
| 2026-04-29T14:00     | Suitable   | Wave Height: 1.20 m, Wind Speed: 18.1 kph            |
| 2026-04-29T15:00     | Suitable   | Wave Height: 1.22 m, Wind Speed: 18.4 kph            |
| 2026-04-29T16:00     | Suitable   | Wave Height: 1.22 m, Wind Speed: 18.2 kph            |
| 2026-04-29T17:00     | Suitable   | Wave Height: 1.24 m, Wind Speed: 17.6 kph            |
| 2026-04-29T18:00     | Suitable   | Wave Height: 1.24 m, Wind Speed: 15.7 kph            |
| 2026-04-29T19:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 15.6 kph            |
| 2026-04-29T20:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 13.1 kph            |
| 2026-04-29T21:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 9.8 kph             |
| 2026-04-29T22:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 7.3 kph             |
| 2026-04-29T23:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 6.1 kph             |
| 2026-04-30T00:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 5.9 kph             |
| 2026-04-30T01:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 5.9 kph             |
| 2026-04-30T02:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 5.4 kph             |
| 2026-04-30T03:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 5.2 kph             |
| 2026-04-30T04:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 5.0 kph             |
| 2026-04-30T05:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 4.8 kph             |
| 2026-04-30T06:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 4.7 kph             |
| 2026-04-30T07:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 5.4 kph             |
| 2026-04-30T08:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 7.3 kph             |
| 2026-04-30T09:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 9.6 kph             |
| 2026-04-30T10:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 11.6 kph            |
| 2026-04-30T11:00     | Suitable   | Wave Height: 1.26 m, Wind Speed: 12.7 kph            |
| 2026-04-30T12:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 13.7 kph            |
| 2026-04-30T13:00     | Suitable   | Wave Height: 1.28 m, Wind Speed: 14.2 kph            |
| 2026-04-30T14:00     | Suitable   | Wave Height: 1.30 m, Wind Speed: 14.8 kph            |
| 2026-04-30T15:00     | Suitable   | Wave Height: 1.30 m, Wind Speed: 15.3 kph            |
| 2026-04-30T16:00     | Suitable   | Wave Height: 1.32 m, Wind Speed: 15.2 kph            |
| 2026-04-30T17:00     | Suitable   | Wave Height: 1.34 m, Wind Speed: 14.7 kph            |
| 2026-04-30T18:00     | Suitable   | Wave Height: 1.34 m, Wind Speed: 13.9 kph            |
| 2026-04-30T19:00     | Suitable   | Wave Height: 1.36 m, Wind Speed: 13.4 kph            |
| 2026-04-30T20:00     | Suitable   | Wave Height: 1.36 m, Wind Speed: 12.2 kph            |
| 2026-04-30T21:00     | Suitable   | Wave Height: 1.38 m, Wind Speed: 10.9 kph            |
| 2026-04-30T22:00     | Suitable   | Wave Height: 1.38 m, Wind Speed: 9.2 kph             |
| 2026-04-30T23:00     | Suitable   | Wave Height: 1.38 m, Wind Speed: 7.9 kph             |

### Continuous Surfing Windows
1. **Ideal Window**: 
   - Start: **2026-04-26T01:00**
   - End: **2026-04-26T11:00**
   - Duration: 11 hours

2. **Ideal Window**:
   - Start: **2026-04-27T02:00**
   - End: **2026-04-27T07:00**
   - Duration: 6 hours

### Unsafe Hours
- None of the hours exceeded **wave height > 3.8 m** or **wind speed > 30 kph**. All conditions remain within safe limits for an intermediate surfer. 

This forecast provides a detailed overview to help plan a successful surf session at Sagres Tonel!
