### Surf Session Ratings

| Timestamp (UTC)        | Wave Height (m) | Wind Speed (kph) | Rating      |
| 2026-05-15T02:00      | 3.4              | 22.9              | Unsafe      |
| 2026-05-15T03:00      | 3.46             | 22.3              | Unsafe      |
| 2026-05-15T04:00      | 3.46             | 23.7              | Unsafe      |
| 2026-05-15T05:00      | 3.48             | 22.9              | Unsafe      |
| 2026-05-15T06:00      | 3.48             | 16.0              | Unsafe      |
| 2026-05-15T07:00      | 3.38             | 17.5              | Unsafe      |
| 2026-05-15T08:00      | 3.26             | 17.3              | Unsafe      |
| 2026-05-15T09:00      | 3.16             | 12.6              | Unsafe      |
| 2026-05-15T10:00      | 3.08             | 12.5              | Unsafe      |
| 2026-05-15T11:00      | 2.98             | 13.5              | Unsafe      |
| 2026-05-15T12:00      | 2.9              | 18.4              | Unsafe      |
| 2026-05-15T13:00      | 2.84             | 18.1              | Unsafe      |
| 2026-05-15T14:00      | 2.76             | 17.1              | Unsafe      |
| 2026-05-15T15:00      | 2.7              | 18.9              | Unsafe      |
| 2026-05-15T16:00      | 2.64             | 16.1              | Unsafe      |
| 2026-05-15T17:00      | 2.6              | 15.8              | Unsafe      |
| 2026-05-15T18:00      | 2.54             | 16.3              | Unsafe      |
| 2026-05-15T19:00      | 2.5              | 13.5              | Unsafe      |
| 2026-05-15T20:00      | 2.44             | 12.3              | Unsafe      |
| 2026-05-15T21:00      | 2.4              | 11.5              | Unsafe      |
| 2026-05-15T22:00      | 2.34             | 7.4               | Unsafe      |
| 2026-05-15T23:00      | 2.28             | 15.1              | Unsafe      |
| 2026-05-16T00:00      | 2.22             | 7.7               | Unsafe      |
| 2026-05-16T01:00      | 2.18             | 18.0              | Unsafe      |
| 2026-05-16T02:00      | 2.12             | 13.9              | Unsafe      |
| 2026-05-16T03:00      | 2.08             | 18.7              | Unsafe      |
| 2026-05-16T04:00      | 2.04             | 16.6              | Unsafe      |
| 2026-05-16T05:00      | 1.98             | 13.9              | Unsafe      |
| 2026-05-16T06:00      | 1.94             | 12.2              | Unsafe      |
| 2026-05-16T07:00      | 1.88             | 7.6               | Unsafe      |
| 2026-05-16T08:00      | 1.84             | 6.5               | Unsafe      |
| 2026-05-16T09:00      | 1.78             | 7.8               | Unsafe      |
| 2026-05-16T10:00      | 1.74             | 11.5              | Unsafe      |
| 2026-05-16T11:00      | 1.72             | 16.5              | Unsafe      |
| 2026-05-16T12:00      | 1.68             | 20.1              | Unsafe      |
| 2026-05-16T13:00      | 1.68             | 21.0              | Unsafe      |
| 2026-05-16T14:00      | 1.66             | 20.3              | Unsafe      |
| 2026-05-16T15:00      | 1.66             | 19.5              | Unsafe      |
| 2026-05-16T16:00      | 1.64             | 19.0              | Unsafe      |
| 2026-05-16T17:00      | 1.6              | 18.2              | Unsafe      |
| 2026-05-16T18:00      | 1.58             | 16.8              | Unsafe      |
| 2026-05-16T19:00      | 1.54             | 14.5              | Unsafe      |
| 2026-05-16T20:00      | 1.5              | 11.8              | Unsafe      |
| 2026-05-16T21:00      | 1.46             | 9.0               | Unsafe      |
| 2026-05-16T22:00      | 1.42             | 6.7               | Unsafe      |
| 2026-05-16T23:00      | 1.4              | 4.5               | Unsafe      |

### Best Continuous Surfing Windows
1. **Window 1**: 
   - **Start**: 2026-05-12T00:00 
   - **End**: 2026-05-12T10:00 
   - **Wave Height**: Max 0.9 m, Wind Speed: Max 19.3 kph

2. **Window 2**: 
   - **Start**: 2026-05-13T05:00 
   - **End**: 2026-05-13T11:00 
   - **Wave Height**: Max 0.98 m, Wind Speed: Max 24.1 kph (Challenging)

3. **Window 3**:
   - **Start**: 2026-05-13T12:00
   - **End**: 2026-05-13T13:00
   - **Wave Height**: Max 1.04 m, Wind Speed: Max 25.5 kph (Challenging)

**Note**: All hours with wave heights greater than 2.2 m or wind speeds exceeding 22 kph are flagged as unsafe.
